isin,tranches in same deal,deal_number,parse_notes,parse_notes
KR6021961A22,KR6021961A22,2394987,[],
KR6021962A21,KR6021961A22,2394987,[],
KR6021963A20,KR6021961A22,2394987,[],
KR6021964A29,KR6021961A22,2394987,[],
KR6021965A28,KR6021965A28,2394872,[],
KR6021966A27,KR6021965A28,2394872,[],
KR6021967A26,KR6021965A28,2394872,[],
KR6021961A30,KR6021961A30,2394873,[],
KR6021962A39,KR6021961A30,2394873,[],
KR6021963A38,KR6021961A30,2394873,[],
KR6021964A37,KR6021961A30,2394873,[],
KR6021965A36,KR6021965A36,2394874,[],
KR6021966A35,KR6021965A36,2394874,[],
KR6021967A34,KR6021965A36,2394874,[],
KR6021968A33,KR6021965A36,2394874,[],
